 Major Major     Objective    CPU time  Itera- Evaluation Solver
 Step  Iter       Function     (Sec)    tions   Errors
  NLP    1       376.61756      0.02        7      0      conopt
  MIP    1       462.71183      0.05      512      0      cplex
  NLP    2       470.66163<     0.00        4      0      conopt
  MIP    2       470.27266      0.09     2099      0      cplex
  NLP    3       469.82843<     0.00        4      0      conopt
  MIP    3       470.27266      0.09     2570      0      cplex
  NLP    4       469.82843      0.00        4      0      conopt
